Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",22565294,36910426,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowances for impairment",247924617,272779403,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,4802856,105886754,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(ii)Other securities,11790761,176643627,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
"(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(i) Debt,495151914,548141632,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(ii) Shares,111369009,210126116,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",5445284,6475715,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(ii) To regulated financial institutions,63325499,72541701,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",2825,6382535,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(iv) To foreign governments,21208339,21282703,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(v) Lease receivables,10845610,22385491,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(vi) To individuals for non-business purposes,106278627,602094781,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
Of (A) Secured by residential property,20505114,247953663,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
which: (B) Secured by other than residential property,45419122,146105951,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(vii) Reverse repurchase agreements,444752121,609061852,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(viii) To individuals and others for business purposes,407872365,701513158,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
Of (A) Secured by residential property,5408254,31687248,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
which: (B) Secured by other than residential property,209860984,395359898,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
"(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment","Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(A) Insured,889644,542182930,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,169645281,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(C) Uninsured,88883525,662715345,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(D) Reverse Mortgages,0,2132482,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(ii) Non-residential,44341500,111009645,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowances for impairment",2253806,84405103,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",6870358,14736741,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
6. Other assets,6. Other assets,6. Other assets,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(a) Insurance-related assets,204602,5415730,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(b) Accrued interest,4861129,9816065,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(c) Prepaid and deferred charges,1396600,5414329,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(d) Goodwill,34856681,46615774,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(i) with definite lives,5446219,14745873,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(ii) with indefinite lives,199663,2884201,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(f) Deferred tax assets,4829747,10442157,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(g) Derivatives related amounts,126275235,242812187,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,7882421,17024521,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(i) Interests in associates and joint ventures,15326563,17518104,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
(j) Other,62440286,97508598,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
Total  Assets,2360293100,5279605679,"Total All Banks, As At September 30, 2017, (in thousands of dollars), Total All Banks, As At September 30, 2017, (in thousands of dollars)"
