Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At October 31, 2012, (in thousands of dollars), Total All Banks, As At October 31, 2012, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",22162241,31232569,"Total All Banks, As At October 31, 2012, (in thousands of dollars), Total All Banks, As At October 31, 2012, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowances for impairment",123803315,150778777,"Total All Banks, As At October 31, 2012, (in thousands of dollars), Total All Banks, As At October 31, 2012, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At October 31, 2012, (in thousands of dollars), Total All Banks, As At October 31, 2012, (in thousands of dollars)"
(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,"Total All Banks, As At October 31, 2012, (in thousands of dollars), Total All Banks, As At October 31, 2012, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,1878212,113500049,"Total All Banks, As At October 31, 2012, (in thousands of dollars), Total All Banks, As At October 31, 2012, (in thousands of dollars)"
(ii)Other securities,6539922,130263309,"Total All Banks, As At October 31, 2012, (in thousands of dollars), Total All Banks, As At October 31, 2012, (in thousands of dollars)"
"(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","Total All Banks, As At October 31, 2012, (in thousands of dollars), Total All Banks, As At October 31, 2012, (in thousands of dollars)"
(i) Debt,278988424,326484352,"Total All Banks, As At October 31, 2012, (in thousands of dollars), Total All Banks, As At October 31, 2012, (in thousands of dollars)"
(ii) Shares,42965280,192654003,"Total All Banks, As At October 31, 2012, (in thousands of dollars), Total All Banks, As At October 31, 2012, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At October 31, 2012, (in thousands of dollars), Total All Banks, As At October 31, 2012, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","Total All Banks, As At October 31, 2012, (in thousands of dollars), Total All Banks, As At October 31, 2012, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",11343810,14090697,"Total All Banks, As At October 31, 2012, (in thousands of dollars), Total All Banks, As At October 31, 2012, (in thousands of dollars)"
(ii) To regulated financial institutions,36258469,42508821,"Total All Banks, As At October 31, 2012, (in thousands of dollars), Total All Banks, As At October 31, 2012, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",5584,3644575,"Total All Banks, As At October 31, 2012, (in thousands of dollars), Total All Banks, As At October 31, 2012, (in thousands of dollars)"
(iv) To foreign governments,10950965,11169496,"Total All Banks, As At October 31, 2012, (in thousands of dollars), Total All Banks, As At October 31, 2012, (in thousands of dollars)"
(v) Lease receivables,5241757,14056656,"Total All Banks, As At October 31, 2012, (in thousands of dollars), Total All Banks, As At October 31, 2012, (in thousands of dollars)"
(vi) To individuals for non-business purposes,63504862,491558425,"Total All Banks, As At October 31, 2012, (in thousands of dollars), Total All Banks, As At October 31, 2012, (in thousands of dollars)"
Of (A) Secured by residential property,19748657,226953927,"Total All Banks, As At October 31, 2012, (in thousands of dollars), Total All Banks, As At October 31, 2012, (in thousands of dollars)"
which: (B) Secured by other than residential property,29147212,88977256,"Total All Banks, As At October 31, 2012, (in thousands of dollars), Total All Banks, As At October 31, 2012, (in thousands of dollars)"
(vii) Reverse repurchase agreements,207645131,323819833,"Total All Banks, As At October 31, 2012, (in thousands of dollars), Total All Banks, As At October 31, 2012, (in thousands of dollars)"
