Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At December 31, 2011, (in thousands of dollars), Total All Banks, As At December 31, 2011, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",16117345,29042556,"Total All Banks, As At December 31, 2011, (in thousands of dollars), Total All Banks, As At December 31, 2011, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowances for impairment",160444685,191385795,"Total All Banks, As At December 31, 2011, (in thousands of dollars), Total All Banks, As At December 31, 2011, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At December 31, 2011, (in thousands of dollars), Total All Banks, As At December 31, 2011, (in thousands of dollars)"
(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,"Total All Banks, As At December 31, 2011, (in thousands of dollars), Total All Banks, As At December 31, 2011, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,751655,113325348,"Total All Banks, As At December 31, 2011, (in thousands of dollars), Total All Banks, As At December 31, 2011, (in thousands of dollars)"
(ii)Other securities,4485649,136653069,"Total All Banks, As At December 31, 2011, (in thousands of dollars), Total All Banks, As At December 31, 2011, (in thousands of dollars)"
"(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","Total All Banks, As At December 31, 2011, (in thousands of dollars), Total All Banks, As At December 31, 2011, (in thousands of dollars)"
(i) Debt,274917895,323860418,"Total All Banks, As At December 31, 2011, (in thousands of dollars), Total All Banks, As At December 31, 2011, (in thousands of dollars)"
(ii) Shares,47591488,175960049,"Total All Banks, As At December 31, 2011, (in thousands of dollars), Total All Banks, As At December 31, 2011, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At December 31, 2011, (in thousands of dollars), Total All Banks, As At December 31, 2011, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","Total All Banks, As At December 31, 2011, (in thousands of dollars), Total All Banks, As At December 31, 2011, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",7508227,10276335,"Total All Banks, As At December 31, 2011, (in thousands of dollars), Total All Banks, As At December 31, 2011, (in thousands of dollars)"
(ii) To regulated financial institutions,41590144,47667163,"Total All Banks, As At December 31, 2011, (in thousands of dollars), Total All Banks, As At December 31, 2011, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",86562,4395544,"Total All Banks, As At December 31, 2011, (in thousands of dollars), Total All Banks, As At December 31, 2011, (in thousands of dollars)"
(iv) To foreign governments,10032588,10426980,"Total All Banks, As At December 31, 2011, (in thousands of dollars), Total All Banks, As At December 31, 2011, (in thousands of dollars)"
(v) Lease receivables,4766144,13592805,"Total All Banks, As At December 31, 2011, (in thousands of dollars), Total All Banks, As At December 31, 2011, (in thousands of dollars)"
(vi) To individuals for non-business purposes,59073389,476482307,"Total All Banks, As At December 31, 2011, (in thousands of dollars), Total All Banks, As At December 31, 2011, (in thousands of dollars)"
Of (A) Secured by residential property,20006237,221541495,"Total All Banks, As At December 31, 2011, (in thousands of dollars), Total All Banks, As At December 31, 2011, (in thousands of dollars)"
which: (B) Secured by other than residential property,26034860,78265566,"Total All Banks, As At December 31, 2011, (in thousands of dollars), Total All Banks, As At December 31, 2011, (in thousands of dollars)"
(vii) Reverse repurchase agreements,175936555,296790443,"Total All Banks, As At December 31, 2011, (in thousands of dollars), Total All Banks, As At December 31, 2011, (in thousands of dollars)"
(viii) To individuals and others for business purposes,188411035,369021970,"Total All Banks, As At December 31, 2011, (in thousands of dollars), Total All Banks, As At December 31, 2011, (in thousands of dollars)"
