Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At August 31, 2023, (in thousands of dollars), Total All Banks, As At August 31, 2023, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",29169815,183712548,"Total All Banks, As At August 31, 2023, (in thousands of dollars), Total All Banks, As At August 31, 2023, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",352893370,389059167,"Total All Banks, As At August 31, 2023, (in thousands of dollars), Total All Banks, As At August 31, 2023, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At August 31, 2023, (in thousands of dollars), Total All Banks, As At August 31, 2023, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At August 31, 2023, (in thousands of dollars), Total All Banks, As At August 31, 2023, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,7361019,167251984,"Total All Banks, As At August 31, 2023, (in thousands of dollars), Total All Banks, As At August 31, 2023, (in thousands of dollars)"
(ii)Other securities,25403681,301742177,"Total All Banks, As At August 31, 2023, (in thousands of dollars), Total All Banks, As At August 31, 2023, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At August 31, 2023, (in thousands of dollars), Total All Banks, As At August 31, 2023, (in thousands of dollars)"
(i) Debt,966498197,1041871853,"Total All Banks, As At August 31, 2023, (in thousands of dollars), Total All Banks, As At August 31, 2023, (in thousands of dollars)"
(ii) Shares,225014293,377959531,"Total All Banks, As At August 31, 2023, (in thousands of dollars), Total All Banks, As At August 31, 2023, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At August 31, 2023, (in thousands of dollars), Total All Banks, As At August 31, 2023, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At August 31, 2023, (in thousands of dollars), Total All Banks, As At August 31, 2023, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",2730031,3156649,"Total All Banks, As At August 31, 2023, (in thousands of dollars), Total All Banks, As At August 31, 2023, (in thousands of dollars)"
(ii) To regulated financial institutions,114157583,129010824,"Total All Banks, As At August 31, 2023, (in thousands of dollars), Total All Banks, As At August 31, 2023, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",97879,5035537,"Total All Banks, As At August 31, 2023, (in thousands of dollars), Total All Banks, As At August 31, 2023, (in thousands of dollars)"
(iv) To foreign governments,22432061,22432061,"Total All Banks, As At August 31, 2023, (in thousands of dollars), Total All Banks, As At August 31, 2023, (in thousands of dollars)"
(v) Lease receivables,16474924,36151375,"Total All Banks, As At August 31, 2023, (in thousands of dollars), Total All Banks, As At August 31, 2023, (in thousands of dollars)"
(vi) To individuals for non-business purposes,162552206,763973503,"Total All Banks, As At August 31, 2023, (in thousands of dollars), Total All Banks, As At August 31, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,20871895,315038289,"Total All Banks, As At August 31, 2023, (in thousands of dollars), Total All Banks, As At August 31, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,88702636,215123859,"Total All Banks, As At August 31, 2023, (in thousands of dollars), Total All Banks, As At August 31, 2023, (in thousands of dollars)"
(vii) Reverse repurchase agreements,761487874,1026925547,"Total All Banks, As At August 31, 2023, (in thousands of dollars), Total All Banks, As At August 31, 2023, (in thousands of dollars)"
