Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",14147883,25581776,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowances for impairment",165448654,183347983,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,1366562,95608482,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
(ii)Other securities,9436479,142941490,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
"(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
(i) Debt,311798578,365843076,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
(ii) Shares,58644866,236585506,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",12927581,15154351,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
(ii) To regulated financial institutions,43496146,50244333,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",7943,3681800,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
(iv) To foreign governments,11107836,11336052,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
(v) Lease receivables,6001203,15314557,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
(vi) To individuals for non-business purposes,78205773,518751950,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
Of (A) Secured by residential property,20043714,224778664,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
which: (B) Secured by other than residential property,35338889,99730676,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
(vii) Reverse repurchase agreements,262364723,398678526,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
(viii) To individuals and others for business purposes,225771874,433331185,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
Of (A) Secured by residential property,4706590,17621878,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
which: (B) Secured by other than residential property,114602001,244183085,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
"(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment","Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
(A) Insured,677909,548911854,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,169166971,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
(C) Uninsured,57769957,423918465,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
(D) Reverse Mortgages,0,1188322,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
(ii) Non-residential,26151071,73481414,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowances for impairment",1135231,59150243,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",6592866,14292796,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
6. Other assets,6. Other assets,6. Other assets,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
(a) Insurance-related assets,77434,4916752,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
(b) Accrued interest,2696984,7814102,"Total All Banks, As At November 30, 2013, (in thousands of dollars), Total All Banks, As At November 30, 2013, (in thousands of dollars)"
