Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",15758836,25763650,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowances for impairment",143318901,170022005,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,2349294,126327561,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(ii)Other securities,5995217,124311835,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
"(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(i) Debt,273359378,321881774,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(ii) Shares,42910583,182496445,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",10904870,13524970,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(ii) To regulated financial institutions,41082089,48027977,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",48176,4119741,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(iv) To foreign governments,10870511,11089042,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(v) Lease receivables,5085418,13859431,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(vi) To individuals for non-business purposes,62912284,485246910,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
Of (A) Secured by residential property,19498520,224517295,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
which: (B) Secured by other than residential property,28455229,86275781,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(vii) Reverse repurchase agreements,212045464,328121738,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(viii) To individuals and others for business purposes,197380131,384258956,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
Of (A) Secured by residential property,2767429,12178662,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
which: (B) Secured by other than residential property,106066832,226019057,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
"(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment","Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(A) Insured,102195,533804368,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,133368166,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(C) Uninsured,50498735,363021591,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(D) Reverse Mortgages,0,995023,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(ii) Non-residential,22785014,55860237,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowances for impairment",751746,58918538,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",6191917,13583557,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
6. Other assets,6. Other assets,6. Other assets,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(a) Insurance-related assets,104374,4610414,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(b) Accrued interest,2419461,6767683,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(c) Prepaid and deferred charges,1758333,5279813,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(d) Goodwill,22610739,32528295,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(i) with definite lives,3424340,9172245,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(ii) with indefinite lives,28926,2762954,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(f) Deferred tax assets,4606634,8992239,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(g) Derivatives related amounts,82679257,308745591,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,6199697,11029597,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(i) Interests in associates and joint ventures,9133873,13484772,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
(j) Other,36331140,69152368,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
Total  Assets,1273647533,3737761320,"Total All Banks, As At July 31, 2012, (in thousands of dollars), Total All Banks, As At July 31, 2012, (in thousands of dollars)"
