Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",18251038,27531238,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowances for impairment",161194283,180429787,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,1731419,111585046,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
(ii)Other securities,7486650,134534404,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
"(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
(i) Debt,301496869,350753387,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
(ii) Shares,52643323,216709657,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",9704906,12021962,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
(ii) To regulated financial institutions,38943638,45700657,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",19230,4108768,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
(iv) To foreign governments,13465627,13673231,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
(v) Lease receivables,5587889,14526084,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
(vi) To individuals for non-business purposes,67625862,500686537,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
Of (A) Secured by residential property,19717848,226712805,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
which: (B) Secured by other than residential property,32037617,91030645,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
(vii) Reverse repurchase agreements,254478304,388084770,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
(viii) To individuals and others for business purposes,217052995,411711246,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
Of (A) Secured by residential property,3017238,15456038,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
which: (B) Secured by other than residential property,113564892,240179887,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
"(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment","Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
(A) Insured,567926,539376744,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,148330900,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
(C) Uninsured,54126434,380789968,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
(D) Reverse Mortgages,0,1080365,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
(ii) Non-residential,23460408,66352288,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowances for impairment",765345,62482400,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",6466444,14201360,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
6. Other assets,6. Other assets,6. Other assets,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
(a) Insurance-related assets,73914,4594388,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
(b) Accrued interest,2575178,6911249,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
(c) Prepaid and deferred charges,1732074,5779466,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
(d) Goodwill,23112539,34304705,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total All Banks, As At February 28, 2013, (in thousands of dollars), Total All Banks, As At February 28, 2013, (in thousands of dollars)"
