Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At July 31, 2019, (in thousands of dollars), Total All Banks, As At July 31, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",25175956,40353978,"Total All Banks, As At July 31, 2019, (in thousands of dollars), Total All Banks, As At July 31, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",193267617,231993585,"Total All Banks, As At July 31, 2019, (in thousands of dollars), Total All Banks, As At July 31, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At July 31, 2019, (in thousands of dollars), Total All Banks, As At July 31, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At July 31, 2019, (in thousands of dollars), Total All Banks, As At July 31, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,7080859,107986671,"Total All Banks, As At July 31, 2019, (in thousands of dollars), Total All Banks, As At July 31, 2019, (in thousands of dollars)"
(ii)Other securities,19000148,203193817,"Total All Banks, As At July 31, 2019, (in thousands of dollars), Total All Banks, As At July 31, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At July 31, 2019, (in thousands of dollars), Total All Banks, As At July 31, 2019, (in thousands of dollars)"
(i) Debt,596148871,657652587,"Total All Banks, As At July 31, 2019, (in thousands of dollars), Total All Banks, As At July 31, 2019, (in thousands of dollars)"
(ii) Shares,173523066,286249125,"Total All Banks, As At July 31, 2019, (in thousands of dollars), Total All Banks, As At July 31, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At July 31, 2019, (in thousands of dollars), Total All Banks, As At July 31, 2019, (in thousands of dollars)"
