Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",31249515,311420493,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",300035113,339915772,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,9099570,183775631,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
(ii)Other securities,22611346,273982703,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
(i) Debt,723349305,783945255,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
(ii) Shares,141940848,258078461,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",2550728,2749580,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
(ii) To regulated financial institutions,76545797,86434397,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",7757,4797929,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
(iv) To foreign governments,24561620,24561620,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
(v) Lease receivables,14282737,30703429,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
(vi) To individuals for non-business purposes,120159430,634605390,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,18623589,268593759,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,56632654,168823386,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
(vii) Reverse repurchase agreements,570351265,807610632,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
(viii) To individuals and others for business purposes,620169221,1002848772,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,7201295,36443991,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,292200892,512233689,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
(A) Insured,1370546,486047089,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,189539389,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
(C) Uninsured,122348359,919495675,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
(D) Reverse Mortgages,543637,4295683,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
(ii) Non-residential,60703949,146506808,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",1500979,86402505,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",14756545,33120568,"Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Total All Banks, As At July 31, 2020, (in thousands of dollars), Total All Banks, As At July 31, 2020, (in thousands of dollars)"
