Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",4877,208215,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",0,190000,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
2. Securities,2. Securities,2. Securities,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(i) Treasury Bills and other short term paper,98530,662707,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(ii)Other securities,46393,242363,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(i) Debt,8872,1475972,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(ii) Shares,0,2285,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
3. Loans,3. Loans,3. Loans,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(ii) To regulated financial institutions,0,0,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(iv) To foreign governments,0,0,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(v) Lease receivables,17290,858492,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(vi) To individuals for non-business purposes,1,1128966,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
Of (A) Secured by residential property,0,784765,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
which: (B) Secured by other than residential property,0,186891,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(vii) Reverse repurchase agreements,0,106898,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(viii) To individuals and others for business purposes,65600,988876,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
Of (A) Secured by residential property,0,8517,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
which: (B) Secured by other than residential property,37544,915665,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(i) Residential,(i) Residential,(i) Residential,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(A) Insured,0,1471882,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(B) Of which: NHA MBS pooled and unsold,0,140062,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(C) Uninsured,0,9740903,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(D) Reverse Mortgages,0,0,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(ii) Non-residential,0,4350270,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
"5. Land, buildings, and equipment, less accumulated depreciation",0,56708,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(a) Insurance-related assets,0,0,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(b) Accrued interest,838,55299,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(c) Prepaid and deferred charges,105,73588,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(d) Goodwill,0,15205,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(i) with definite lives,0,97328,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(ii) with indefinite lives,0,0,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(f) Deferred tax assets,0,16800,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(g) Derivatives related amounts,0,3177,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(i) Interests in associates and joint ventures,0,0,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
(j) Other,0,48880,"As At June 30, 2024, (in thousands of dollars), Coast Capital Savings Federal Credit Union"
