Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"The Bank of Nova Scotia, As At June 30, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",4482408,10184539,"The Bank of Nova Scotia, As At June 30, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",49078500,50236904,"The Bank of Nova Scotia, As At June 30, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"The Bank of Nova Scotia, As At June 30, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","The Bank of Nova Scotia, As At June 30, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,2887756,31217024,"The Bank of Nova Scotia, As At June 30, 2024, (in thousands of dollars)"
(ii)Other securities,5945093,42562599,"The Bank of Nova Scotia, As At June 30, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","The Bank of Nova Scotia, As At June 30, 2024, (in thousands of dollars)"
(i) Debt,127927346,136926851,"The Bank of Nova Scotia, As At June 30, 2024, (in thousands of dollars)"
(ii) Shares,51904208,83461889,"The Bank of Nova Scotia, As At June 30, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"The Bank of Nova Scotia, As At June 30, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","The Bank of Nova Scotia, As At June 30, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"The Bank of Nova Scotia, As At June 30, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,998283,1674726,"The Bank of Nova Scotia, As At June 30, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",55453,262992,"The Bank of Nova Scotia, As At June 30, 2024, (in thousands of dollars)"
(iv) To foreign governments,2003021,2003021,"The Bank of Nova Scotia, As At June 30, 2024, (in thousands of dollars)"
(v) Lease receivables,2446791,3122714,"The Bank of Nova Scotia, As At June 30, 2024, (in thousands of dollars)"
(vi) To individuals for non-business purposes,30449138,119919938,"The Bank of Nova Scotia, As At June 30, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,230677,23851670,"The Bank of Nova Scotia, As At June 30, 2024, (in thousands of dollars)"
