Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",4827451,7230261,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",45807207,47854991,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
2. Securities,2. Securities,2. Securities,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
(i) Treasury Bills and other short term paper,5654582,20149331,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
(ii)Other securities,2447164,60839583,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
(i) Debt,96851053,102225106,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
(ii) Shares,33077246,62722802,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
3. Loans,3. Loans,3. Loans,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
(ii) To regulated financial institutions,2476203,2818946,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
"(iii) To Canadian federal government, provinces, municipal or school corporations",8622,1592685,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
(iv) To foreign governments,870225,870225,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
(v) Lease receivables,163860,163860,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
(vi) To individuals for non-business purposes,2234365,64574303,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
Of (A) Secured by residential property,51595,19427478,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
which: (B) Secured by other than residential property,645322,10603694,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
(vii) Reverse repurchase agreements,68880873,97124397,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
(viii) To individuals and others for business purposes,112654942,195982826,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
Of (A) Secured by residential property,5303730,7484605,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
which: (B) Secured by other than residential property,19559243,34398560,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
(i) Residential,(i) Residential,(i) Residential,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
(A) Insured,0,46500097,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
(B) Of which: NHA MBS pooled and unsold,0,20985856,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
(C) Uninsured,5636431,229286437,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
(D) Reverse Mortgages,0,0,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
(ii) Non-residential,231108,5097206,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
"4. Customers' liability under acceptances, less allowance for expected credit losses",7020,849505,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
"5. Land, buildings, and equipment, less accumulated depreciation",738456,3240018,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
(a) Insurance-related assets,0,33017,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
(b) Accrued interest,1854408,3988397,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
(c) Prepaid and deferred charges,141172,560064,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
(d) Goodwill,4311590,5366327,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
(i) with definite lives,252783,2631280,"As At June 30, 2024, (in thousands of dollars), Canadian Imperial Bank of Commerce"
