Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",1250959,10460104,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",14824081,15845440,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
2. Securities,2. Securities,2. Securities,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(i) Treasury Bills and other short term paper,82352,21170664,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(ii)Other securities,1150499,31100623,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(i) Debt,8768082,15142733,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(ii) Shares,64505598,89666309,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
3. Loans,3. Loans,3. Loans,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
"(i) Call and other short loans to investment dealers and brokers, secured",0,7287,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(ii) To regulated financial institutions,6631,881439,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,877163,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(iv) To foreign governments,0,0,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(v) Lease receivables,0,0,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(vi) To individuals for non-business purposes,3281631,49046861,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
Of (A) Secured by residential property,2299,29602067,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
which: (B) Secured by other than residential property,2905805,13261025,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(vii) Reverse repurchase agreements,10947303,13513584,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(viii) To individuals and others for business purposes,31349662,92894163,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
Of (A) Secured by residential property,30573,1087671,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
which: (B) Secured by other than residential property,24919389,74958173,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(i) Residential,(i) Residential,(i) Residential,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(A) Insured,0,42062786,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(B) Of which: NHA MBS pooled and unsold,0,12546926,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(C) Uninsured,9200686,49570933,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(D) Reverse Mortgages,297542,297542,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(ii) Non-residential,0,1006559,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,1193218,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
"5. Land, buildings, and equipment, less accumulated depreciation",250071,1830234,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(a) Insurance-related assets,0,31161,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(b) Accrued interest,581162,1640269,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(c) Prepaid and deferred charges,100791,397338,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(d) Goodwill,170397,1519116,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(i) with definite lives,30282,1064822,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(ii) with indefinite lives,0,163959,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(f) Deferred tax assets,39150,633139,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(g) Derivatives related amounts,6612845,9340578,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(i) Interests in associates and joint ventures,30775,37166,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
(j) Other,1229718,5765853,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
Total  Assets,154710217,457161043,"As At June 30, 2024, (in thousands of dollars), National Bank of Canada"
