Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",22981115,39531505,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",220688745,257815721,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,6824227,103676133,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
(ii)Other securities,19394440,210660951,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
(i) Debt,594354047,656659959,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
(ii) Shares,169601706,285155862,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",4096670,4422456,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
(ii) To regulated financial institutions,74183831,83954815,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",3972,3534304,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
(iv) To foreign governments,23311608,23311608,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
(v) Lease receivables,13382334,29157173,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
(vi) To individuals for non-business purposes,123256120,651490096,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,20185701,269059562,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,52374686,162044924,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
(vii) Reverse repurchase agreements,633427475,869558824,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
(viii) To individuals and others for business purposes,517743803,884481044,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,6899741,33167500,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,255491369,470653160,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
(A) Insured,1173178,479861410,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,183539485,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
(C) Uninsured,114044441,829173545,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
(D) Reverse Mortgages,623965,3743703,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
(ii) Non-residential,54633327,133590227,"Total All Banks, As At June 30, 2019, (in thousands of dollars), Total All Banks, As At June 30, 2019, (in thousands of dollars)"
