Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At January 31, 2022, (in thousands of dollars), Total All Banks, As At January 31, 2022, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",24901197,288336925,"Total All Banks, As At January 31, 2022, (in thousands of dollars), Total All Banks, As At January 31, 2022, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",371712856,408696013,"Total All Banks, As At January 31, 2022, (in thousands of dollars), Total All Banks, As At January 31, 2022, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At January 31, 2022, (in thousands of dollars), Total All Banks, As At January 31, 2022, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At January 31, 2022, (in thousands of dollars), Total All Banks, As At January 31, 2022, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,9156286,115978310,"Total All Banks, As At January 31, 2022, (in thousands of dollars), Total All Banks, As At January 31, 2022, (in thousands of dollars)"
(ii)Other securities,23212165,241880885,"Total All Banks, As At January 31, 2022, (in thousands of dollars), Total All Banks, As At January 31, 2022, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At January 31, 2022, (in thousands of dollars), Total All Banks, As At January 31, 2022, (in thousands of dollars)"
(i) Debt,816338692,882496124,"Total All Banks, As At January 31, 2022, (in thousands of dollars), Total All Banks, As At January 31, 2022, (in thousands of dollars)"
(ii) Shares,255154053,400649341,"Total All Banks, As At January 31, 2022, (in thousands of dollars), Total All Banks, As At January 31, 2022, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At January 31, 2022, (in thousands of dollars), Total All Banks, As At January 31, 2022, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At January 31, 2022, (in thousands of dollars), Total All Banks, As At January 31, 2022, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",3811433,4567262,"Total All Banks, As At January 31, 2022, (in thousands of dollars), Total All Banks, As At January 31, 2022, (in thousands of dollars)"
